model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,1,5,1,0.6863756514310837,,,,,
albert,1,5,2,0.616208448638916,,,,,
albert,1,5,3,0.592867507944107,,,,,
albert,1,5,4,0.5589464274787903,,,,,
albert,1,5,5,0.5523448214149476,,,,,
albert,1,5,final_test,,0.27666611137656316,0.89708,0.8912272404823836,0.90456,0.8978441259379839
albert,1,10,1,0.5549819879245758,,,,,
albert,1,10,2,0.5645427077484131,,,,,
albert,1,10,3,0.5934552807712555,,,,,
albert,1,10,4,0.5743416106319428,,,,,
albert,1,10,5,0.5474243460083008,,,,,
albert,1,10,6,0.542013997540474,,,,,
albert,1,10,7,0.5341661638450622,,,,,
albert,1,10,8,0.5363149064826965,,,,,
albert,1,10,9,0.5391584689998626,,,,,
albert,1,10,10,0.542998410205841,,,,,
albert,1,10,final_test,,0.2545354326535076,0.9026,0.8979204554439788,0.90848,0.9031693641388635
albert,0.75,5,1,0.47579922691345217,,,,,
albert,0.75,5,2,0.49424603660583494,,,,,
albert,0.75,5,3,0.4928279603147507,,,,,
albert,0.75,5,4,0.4871500682497025,,,,,
albert,0.75,5,5,0.48583915112018583,,,,,
albert,0.75,5,final_test,,0.24196451459549514,0.90568,0.9052261467156785,0.90624,0.9057327896378028
albert,0.75,10,1,0.4880365864944458,,,,,
albert,0.75,10,2,0.4922357483410835,,,,,
albert,0.75,10,3,0.49107222626209257,,,,,
albert,0.75,10,4,0.53960705245018,,,,,
albert,0.75,10,5,0.4925025010585785,,,,,
albert,0.75,10,6,0.4938272305965424,,,,,
albert,0.75,10,7,0.5093413646364212,,,,,
albert,0.75,10,8,0.5032764191055298,,,,,
albert,0.75,10,9,0.5067942659521103,,,,,
albert,0.75,10,10,0.5040163887357711,,,,,
albert,0.75,10,final_test,,0.22621554775987004,0.9128,0.9091341579448144,0.91728,0.9131889136667729
albert,0.5,5,1,0.42240128799915316,,,,,
albert,0.5,5,2,0.45228402363300324,,,,,
albert,0.5,5,3,0.42715509917736055,,,,,
albert,0.5,5,4,0.4117353860759735,,,,,
albert,0.5,5,5,0.40876690880060196,,,,,
albert,0.5,5,final_test,,0.2149318767972505,0.91732,0.9138437128123761,0.92152,0.9176658036247759
albert,0.5,10,1,0.41527299897670744,,,,,
albert,0.5,10,2,0.4199105164909363,,,,,
albert,0.5,10,3,0.41659143820762634,,,,,
albert,0.5,10,4,0.4049367931175232,,,,,
albert,0.5,10,5,0.401416801071167,,,,,
albert,0.5,10,6,0.46863662129878997,,,,,
albert,0.5,10,7,0.42883440569877623,,,,,
albert,0.5,10,8,0.41724583370685575,,,,,
albert,0.5,10,9,0.458006348862648,,,,,
albert,0.5,10,10,0.44780037056207656,,,,,
albert,0.5,10,final_test,,0.2027862948405432,0.92308,0.9133901352302041,0.9348,0.9239710591863362
