model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,0.005,5,1,0.3608852163720131,,,,,
bert,0.005,5,2,0.35655647654533384,,,,,
bert,0.005,5,3,0.3543811937355995,,,,,
bert,0.005,5,4,0.35480284232378007,,,,,
bert,0.005,5,5,0.35171512164592744,,,,,
bert,0.005,5,final_test,,0.3057973682445427,0.86912,0.8580074487895717,0.88464,0.8711202142744604
bert,0.005,10,1,0.35397214140176775,,,,,
bert,0.005,10,2,0.35389008841872216,,,,,
bert,0.005,10,3,0.3502293679475784,,,,,
bert,0.005,10,4,0.35130883853912354,,,,,
bert,0.005,10,5,0.34746467376708984,,,,,
bert,0.005,10,6,0.3467030866110325,,,,,
bert,0.005,10,7,0.34795531914711,,,,,
bert,0.005,10,8,0.34348487708330155,,,,,
bert,0.005,10,9,0.34433438680410383,,,,,
bert,0.005,10,10,0.3441421248185635,,,,,
bert,0.005,10,final_test,,0.29272938245563024,0.87704,0.868952559887271,0.888,0.8783730315739495
bert,0.01,5,1,0.3495141005373001,,,,,
bert,0.01,5,2,0.3478376207697392,,,,,
bert,0.01,5,3,0.34546523326396944,,,,,
bert,0.01,5,4,0.34517355509757996,,,,,
bert,0.01,5,5,0.3410829221391678,,,,,
bert,0.01,5,final_test,,0.28793612335911656,0.87912,0.8700609089489302,0.89136,0.8805816802339367
bert,0.01,10,1,0.34438942289114,,,,,
bert,0.01,10,2,0.3435829695773125,,,,,
bert,0.01,10,3,0.34577739863038065,,,,,
bert,0.01,10,4,0.3408912919354439,,,,,
bert,0.01,10,5,0.34058410441398623,,,,,
bert,0.01,10,6,0.34038759216427805,,,,,
bert,0.01,10,7,0.3371571788942814,,,,,
bert,0.01,10,8,0.3380108576774597,,,,,
bert,0.01,10,9,0.3358103711414337,,,,,
bert,0.01,10,10,0.33631293213248253,,,,,
bert,0.01,10,final_test,,0.27847259958117954,0.8838,0.8761270090160721,0.894,0.8849732726192833
bert,0.025,5,1,0.34653590151786806,,,,,
bert,0.025,5,2,0.34521911360502244,,,,,
bert,0.025,5,3,0.34347185210466386,,,,,
bert,0.025,5,4,0.340636631538868,,,,,
bert,0.025,5,5,0.33828838255405425,,,,,
bert,0.025,5,final_test,,0.2750234422735722,0.88464,0.8758599124452783,0.89632,0.8859718488059466
bert,0.025,10,1,0.3410390422868729,,,,,
bert,0.025,10,2,0.342560730445385,,,,,
bert,0.025,10,3,0.3387325242805481,,,,,
bert,0.025,10,4,0.3410522631978989,,,,,
bert,0.025,10,5,0.3383445228648186,,,,,
bert,0.025,10,6,0.33873913571834563,,,,,
bert,0.025,10,7,0.3351818761408329,,,,,
bert,0.025,10,8,0.3341368452835083,,,,,
bert,0.025,10,9,0.33469364752054215,,,,,
bert,0.025,10,10,0.33355905059218405,,,,,
bert,0.025,10,final_test,,0.2673425603752106,0.88884,0.8811857893498549,0.89888,0.8899449526751417
bert,0.05,5,1,0.35236640635013583,,,,,
bert,0.05,5,2,0.34719081662416457,,,,,
bert,0.05,5,3,0.34675747765779497,,,,,
bert,0.05,5,4,0.3444634738779068,,,,,
bert,0.05,5,5,0.34422071066379545,,,,,
bert,0.05,5,final_test,,0.2637856718938099,0.89004,0.8845334805584036,0.8972,0.8908217165097899
bert,0.05,10,1,0.3460296017074585,,,,,
bert,0.05,10,2,0.3451890198326111,,,,,
bert,0.05,10,3,0.3485332743000984,,,,,
bert,0.05,10,4,0.34674869163513183,,,,,
bert,0.05,10,5,0.3429319073152542,,,,,
bert,0.05,10,6,0.34053044993162157,,,,,
bert,0.05,10,7,0.3390786038970947,,,,,
bert,0.05,10,8,0.34028701914310455,,,,,
bert,0.05,10,9,0.3402825381374359,,,,,
bert,0.05,10,10,0.3407337808394432,,,,,
bert,0.05,10,final_test,,0.25663246503856535,0.89528,0.8897917324076996,0.90232,0.8960120749920559
bert,0.075,5,1,0.3524519364690781,,,,,
bert,0.075,5,2,0.3519696671962738,,,,,
bert,0.075,5,3,0.35335784624576566,,,,,
bert,0.075,5,4,0.34859188772916794,,,,,
bert,0.075,5,5,0.34893157358884813,,,,,
