model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,1,5,1,0.7158913989257812,,,,,
electra_small_discriminator,1,5,2,0.7030593321228027,,,,,
electra_small_discriminator,1,5,3,0.7041516969871521,,,,,
electra_small_discriminator,1,5,4,0.7031662866592407,,,,,
electra_small_discriminator,1,5,5,0.7009651314353943,,,,,
electra_small_discriminator,1,5,final_test,,0.6258814265845452,0.71484,0.667289603189435,0.85696,0.750323958953525
electra_small_discriminator,1,10,1,0.700799927482605,,,,,
electra_small_discriminator,1,10,2,0.6992932354736328,,,,,
electra_small_discriminator,1,10,3,0.6977868123245239,,,,,
electra_small_discriminator,1,10,4,0.6976910244369506,,,,,
electra_small_discriminator,1,10,5,0.6963875089454651,,,,,
electra_small_discriminator,1,10,6,0.6969019428253174,,,,,
electra_small_discriminator,1,10,7,0.6967994102668762,,,,,
electra_small_discriminator,1,10,8,0.6951240985870362,,,,,
electra_small_discriminator,1,10,9,0.6947624123001098,,,,,
electra_small_discriminator,1,10,10,0.6944163153076172,,,,,
electra_small_discriminator,1,10,final_test,,0.6522037708942354,0.72928,0.6892748646149782,0.83496,0.7551551986108096
electra_small_discriminator,0.75,5,1,0.6820646005249024,,,,,
electra_small_discriminator,0.75,5,2,0.6786808834648133,,,,,
electra_small_discriminator,0.75,5,3,0.6774468093681335,,,,,
electra_small_discriminator,0.75,5,4,0.6763663084030151,,,,,
electra_small_discriminator,0.75,5,5,0.6772924468803406,,,,,
electra_small_discriminator,0.75,5,final_test,,0.5712513310151914,0.73048,0.6841836082342412,0.85616,0.7605713879610546
electra_small_discriminator,0.75,10,1,0.6780445426368713,,,,,
electra_small_discriminator,0.75,10,2,0.6766632102203369,,,,,
electra_small_discriminator,0.75,10,3,0.6754179437065124,,,,,
electra_small_discriminator,0.75,10,4,0.6757184235000611,,,,,
electra_small_discriminator,0.75,10,5,0.6779039432525634,,,,,
electra_small_discriminator,0.75,10,6,0.6758736926078797,,,,,
electra_small_discriminator,0.75,10,7,0.6778294319152832,,,,,
electra_small_discriminator,0.75,10,8,0.6786647848892212,,,,,
electra_small_discriminator,0.75,10,9,0.6782832943725586,,,,,
electra_small_discriminator,0.75,10,10,0.6777952831077576,,,,,
