model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
deberta,1,5,1,10.302642897744178,,,,,
deberta,1,5,2,1.9738440495729446,,,,,
deberta,1,5,3,2.0346919927382467,,,,,
deberta,1,5,4,1.4043916895294188,,,,,
deberta,1,5,5,1.2263843646860122,,,,,
deberta,1,5,final_test,,0.5498074686932564,0.86504,0.8717008797653959,0.85608,0.8638198256377139
deberta,1,10,1,1.554107897644043,,,,,
deberta,1,10,2,1.1127458162879944,,,,,
deberta,1,10,3,0.8529095955991745,,,,,
deberta,1,10,4,0.7559831894421577,,,,,
deberta,1,10,5,0.8002933697366714,,,,,
deberta,1,10,6,0.7668519551205635,,,,,
deberta,1,10,7,0.7781218084311485,,,,,
deberta,1,10,8,0.8217000204753876,,,,,
deberta,1,10,9,0.8411020111346245,,,,,
deberta,1,10,10,0.7714954144001007,,,,,
deberta,1,10,final_test,,0.5761590839242935,0.8756,0.8709702907711757,0.88184,0.8763714422006679
deberta,0.75,5,1,0.7569171487474442,,,,,
deberta,0.75,5,2,0.7848740077376366,,,,,
deberta,0.75,5,3,1.0471088722085953,,,,,
deberta,0.75,5,4,0.9610150440478324,,,,,
deberta,0.75,5,5,0.784274487118721,,,,,
deberta,0.75,5,final_test,,0.4549850446522236,0.87188,0.8899421189497525,0.84872,0.8688423897465296
deberta,0.75,10,1,0.8159999538373948,,,,,
deberta,0.75,10,2,0.8712749117016793,,,,,
deberta,0.75,10,3,0.8560306284976006,,,,,
deberta,0.75,10,4,0.9721554057002068,,,,,
deberta,0.75,10,5,0.8649343296933174,,,,,
deberta,0.75,10,6,0.8600546858382225,,,,,
deberta,0.75,10,7,0.9016609155464173,,,,,
deberta,0.75,10,8,0.9398561042714119,,,,,
deberta,0.75,10,9,0.8091975439596176,,,,,
deberta,0.75,10,10,0.8333162736654282,,,,,
deberta,0.75,10,final_test,,0.41766619224905965,0.87004,0.9040796715296584,0.82792,0.8643253852257068
deberta,0.5,5,1,0.6969390419578553,,,,,
deberta,0.5,5,2,0.8103067726075649,,,,,
deberta,0.5,5,3,0.843797416549921,,,,,
deberta,0.5,5,4,1.9693260196793079,,,,,
deberta,0.5,5,5,1.3854778886568546,,,,,
deberta,0.5,5,final_test,,0.34173665565907957,0.87484,0.8900357945558978,0.85536,0.8723534451107575
deberta,0.5,10,1,1.6151654195201397,,,,,
deberta,0.5,10,2,1.9794683757650853,,,,,
deberta,0.5,10,3,1.250428485713005,,,,,
deberta,0.5,10,4,0.9089046316969395,,,,,
deberta,0.5,10,5,1.4394618825376033,,,,,
deberta,0.5,10,6,1.2350938360762596,,,,,
deberta,0.5,10,7,1.2546824660140277,,,,,
deberta,0.5,10,8,1.0015143425261974,,,,,
deberta,0.5,10,9,1.7623736765307187,,,,,
deberta,0.5,10,10,2.640670261284709,,,,,
deberta,0.5,10,final_test,,0.31398382418870924,0.87712,0.8923102529960053,0.85776,0.8746940773372491
deberta,0.25,5,1,0.9212828793466091,,,,,
deberta,0.25,5,2,3.685753829425573,,,,,
deberta,0.25,5,3,3.258855960474014,,,,,
deberta,0.25,5,4,1.2089945398509503,,,,,
deberta,0.25,5,5,1.1304920207983256,,,,,
deberta,0.25,5,final_test,,0.296220227477476,0.88008,0.8863229793462352,0.872,0.8791031534801194
deberta,0.25,10,1,3.2876144972503187,,,,,
deberta,0.25,10,2,1.3553640859884024,,,,,
deberta,0.25,10,3,0.8276609400814772,,,,,
deberta,0.25,10,4,0.9752281431114673,,,,,
deberta,0.25,10,5,0.9940133969667554,,,,,
deberta,0.25,10,6,0.9006585840326548,,,,,
deberta,0.25,10,7,3.209628684198558,,,,,
deberta,0.25,10,8,1.097825319005549,,,,,
deberta,0.25,10,9,1.5219672694599629,,,,,
deberta,0.25,10,10,1.404612225381136,,,,,
deberta,0.25,10,final_test,,0.2864296045744419,0.88176,0.8890428827653677,0.8724,0.8806428167649196
deberta,0.1,5,1,0.935851934145987,,,,,
deberta,0.1,5,2,0.8776654688987136,,,,,
deberta,0.1,5,3,0.6522230365559458,,,,,
deberta,0.1,5,4,0.7357058885531127,,,,,
deberta,0.1,5,5,0.5672420839035511,,,,,
deberta,0.1,5,final_test,,0.2817543055423722,0.88372,0.8875959595959596,0.87872,0.8831356783919598
