model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
CausalNeutralClassifier,1,0.6288124700806801,0,,0,0,0,0
CausalNeutralClassifier,2,0.400225205941606,0,,0,0,0,0
CausalNeutralClassifier,3,0.3387444091678352,0,,0,0,0,0
CausalNeutralClassifier,4,0.31113855981209,0.38808627285823577,,0.81612,0.8496905848501625,0.81612,0.8115983208134153
CausalNeutralClassifier,5,0.3060976023418127,0,,0,0,0,0
CausalNeutralClassifier,6,0.2795317603092848,0,,0,0,0,0
CausalNeutralClassifier,7,0.25204883686845414,0,,0,0,0,0
CausalNeutralClassifier,8,0.23522203321367866,0.22147577848453467,,0.9126,0.9126036150678337,0.9126,0.9125998085586206
CausalNeutralClassifier,9,0.22859334983336796,0,,0,0,0,0
CausalNeutralClassifier,10,0.23368589268426482,0,,0,0,0,0
CausalNeutralClassifier,11,0.24262565189301585,0,,0,0,0,0
CausalNeutralClassifier,12,0.2455344688628758,0.2390726265991768,,0.90284,0.9045009806957786,0.90284,0.902740156779728
CausalNeutralClassifier,13,0.24508593436711903,0,,0,0,0,0
CausalNeutralClassifier,14,0.23290049301738053,0,,0,0,0,0
CausalNeutralClassifier,15,0.22312714455509827,0,,0,0,0,0
CausalNeutralClassifier,16,0.21632715002279096,0.2087231572164474,,0.91688,0.9169308161949672,0.91688,0.9168774672231772
CausalNeutralClassifier,17,0.2111552741559686,0,,0,0,0,0
CausalNeutralClassifier,18,0.21735536333314134,0,,0,0,0,0
CausalNeutralClassifier,19,0.21791238330962448,0,,0,0,0,0
CausalNeutralClassifier,20,0.22759696535089233,0.22895502977913945,,0.90568,0.9087197870400167,0.90568,0.905504300896004
albert_xxlarge,1,0.6288124700806801,0,,,,,
albert_xxlarge,2,0.400225205941606,0,,,,,
albert_xxlarge,3,0.3387444091678352,0,,,,,
albert_xxlarge,4,0.31113855981209,0.38808627285823577,,,,,
albert_xxlarge,5,0.3060976023418127,0,,,,,
albert_xxlarge,6,0.2795317603092848,0,,,,,
albert_xxlarge,7,0.25204883686845414,0,,,,,
albert_xxlarge,8,0.23522203321367866,0.22147577848453467,,,,,
albert_xxlarge,9,0.22859334983336796,0,,,,,
albert_xxlarge,10,0.23368589268426482,0,,,,,
albert_xxlarge,11,0.24262565189301585,0,,,,,
albert_xxlarge,12,0.2455344688628758,0.2390726265991768,,,,,
albert_xxlarge,13,0.24508593436711903,0,,,,,
albert_xxlarge,14,0.23290049301738053,0,,,,,
albert_xxlarge,15,0.22312714455509827,0,,,,,
albert_xxlarge,16,0.21632715002279096,0.2087231572164474,,,,,
albert_xxlarge,17,0.2111552741559686,0,,,,,
albert_xxlarge,18,0.21735536333314134,0,,,,,
albert_xxlarge,19,0.21791238330962448,0,,,,,
albert_xxlarge,20,0.22759696535089233,0.22895502977913945,,,,,
albert_xxlarge,naive_baseline,,,0.22895502977913945,0.90568,0.9087197870400167,0.90568,0.905504300896004
